player,18sp_KDA,18sp_KPAR,18sp_WR,18su_KDA,18su_KPAR,18su_WR,19sp_KDA,19sp_KPAR,19sp_WR,19su_KDA,19su_KPAR,19su_WR,20sp_KDA,20sp_KPAR,20sp_WR,20su_KDA,20su_KPAR,20su_WR,2019_Preseason,2019_Midseason,2020_Preseason,2020_Midseason,2021_Preseason
SoHwan,3.065601454923357,54.94772727272727,43.18181818181818,2.513360537054101,61.744444444444454,31.11111111111111,1.9285714285714286,60.760000000000005,40.0,3.3057851239669427,57.11379310344828,41.37931034482759,2.4788655873084866,53.56976744186046,53.488372093023266,3.082747431043807,65.40555555555555,38.88888888888889,1,0,1,0,1
Spirit,3.837061283869794,70.05588235294118,64.70588235294117,4.332222507049475,70.29574468085107,59.57446808510638,2.188125,75.59285714285714,28.57142857142857, , , ,3.5345203022928144,73.93333333333334,45.45454545454545,3.355480796187272,70.48095238095236,52.38095238095238,0,0,1,0,1
Stitch, , , , , , ,0.5,26.2,0.0, , , , , , , , , ,1,0, , , 
Summit, , , , , , ,3.395297736761151,59.741304347826095,63.04347826086956,2.384507146560024,66.07500000000002,56.25,2.06486660929432,64.31250000000001,34.375,1.8106955609926596,59.02380952380953,40.476190476190474,1,0,0,0,0
Sword, , , ,3.839767716958812,62.75882352941177,64.70588235294117,3.411515773275198,47.00238095238095,73.80952380952381,4.026,59.626086956521746,69.56521739130434,2.0127344926742436,57.46071428571429,35.714285714285715, , , ,0,0,0,0, 
TaNa, , , , , , ,1.75,70.58333333333333,0.0,1.42411390487731,59.425000000000004,0.0, , , , , , ,1,0, ,0, 
Teddy,5.3568639700140555,78.93863636363636,43.18181818181818,3.070845070422535,69.20666666666668,31.11111111111111,7.95025968837395,64.438,74.0,7.589999999999998,63.63214285714285,66.07142857142857,7.286266924564797,72.80588235294118,70.58823529411764,7.478980013783598,71.2777777777778,64.44444444444443,1,0,0,0,0
Tempt,3.7622552423274547,69.4159090909091,38.63636363636363,3.0824541921154918,68.59302325581395,20.930232558139537,5.74638487208009,70.39999999999999,57.89473684210527,4.966081162931558,70.515,45.0,2.932291067938843,68.65384615384615,38.46153846153847, , , ,1,0,0,1, 
Thal,3.3775633293124248,59.05,56.25,2.3000399920015995,59.002272727272725,45.45454545454545,3.087221095334686,62.10833333333335,50.0,2.0993002332555815,65.07692307692308,23.076923076923077, , , , , , ,0,0,1,1, 
Totoro, , , , , , , , , , , , , , , , , , ,1,1, , , 
TusiN,4.0009523809523815,76.16326530612245,65.3061224489796,3.6229579423010083,70.96315789473684,57.89473684210526,4.604615384615385,70.02888888888889,66.66666666666667,2.938480096501809,69.24782608695652,50.0,3.4560934560934564,76.29795918367347,51.02040816326531,2.645252632510398,72.63684210526317,42.10526315789473,1,0,1,0,1
Ucal,4.814814814814815,66.155,65.0,3.8448994167361032,65.44468085106382,68.08510638297872,2.170821791320406,62.09545454545455,27.27272727272727,3.319310344827586,66.08367346938776,55.10204081632653,2.9795585517016416,68.81590909090909,36.36363636363637,3.0210416666666666,64.68333333333334,38.88888888888889,1,0,1,1,0
UmTi,2.9722641509433965,73.87045454545456,43.18181818181818,2.4942722371967654,74.37073170731706,34.146341463414636,1.8897532785063347,64.05,28.57142857142857,3.066666666666667,71.60000000000001,33.33333333333333, , , , , , ,1,0,1,0, 
Untara,2.257036520120958,51.54761904761906,38.095238095238095, , , , , , , , , ,2.210526315789474,47.93333333333333,55.55555555555556, , , ,1, ,1,1, 
Vsta, , , , , , , , , , , , ,3.445604002859185,70.96000000000001,37.142857142857146, , , , , ,1,0, 
Wizer, , , , , , ,1.0,30.0,0.0, , , , , , , , , ,1,0,1, , 
Yaharong,3.8770628311884936,71.30833333333332,44.44444444444444,2.7108830109224895,64.10454545454546,31.818181818181817,1.9497242529177887,64.58484848484848,9.090909090909092,1.6711794121234294,63.92333333333334,10.0, , , , , , ,0,0, ,0, 
Yeongjae, , , , , , , , , , , , , , , ,1.3777777777777778,67.75,10.0, , , ,1,1
Zenit, , , , , , ,2.761904761904762,67.1,34.61538461538461, , , ,1.588235294117647,68.24000000000001,20.0, , , ,1,0,1,1, 
